Class	Class Title	Enrolled	Wait Tot	Days & Times	Room	Class Dates	Instructor Name1	Instructor Name2	Instructor Name3	Instructor Name4	Instructor Name5	Instructor Name6	Instructor Name7	Instructor Name8	Instructor Name9	Instructor Name10	Instructor Name11	Instructor Name12	Instructor Name13	Instructor Name14	Instructor Name15	Instructor Name16	Instructor Name17	Instructor Name18	Instructor Name19	Instructor Name20	Instructor Name21	Instructor Name22	Instructor Name23	Instructor Name24	Instructor Name25
CSE 1010-001L (4301)	Intro Computing for Engineers (Laboratory)	20		We 8:00AM - 9:50AM	No Room Required - Online	Aug 31, 2020-		1.0	1.0	1.0	1.0		1.0			1.0								1.0	1.0		1.0				
CSE 1010-002L (4302)	Intro Computing for Engineers (Laboratory)	20		We 6:40PM - 8:30PM	No Room Required - Online	Aug 31, 2020-		1.0	1.0		1.0				1.0	1.0	1.0	1.0		1.0		1.0		1.0	1.0	1.0					
CSE 1010-003L (4303)	Intro Computing for Engineers (Laboratory)	19		We 11:15AM - 1:05PM	No Room Required - Online	Aug 31, 2020-	1.0	1.0		1.0			1.0	1.0	1.0							1.0	1.0							1.0	
CSE 1010-004L (4304)	Intro Computing for Engineers (Laboratory)	19		We 2:30PM - 4:20PM	No Room Required - Online	Aug 31, 2020-		1.0				1.0		1.0																	1.0
CSE 1010-005L (4305)	Intro Computing for Engineers (Laboratory)	21		We 4:40PM - 6:30PM	No Room Required - Online	Aug 31, 2020-	1.0	1.0		1.0				1.0		1.0			1.0			1.0	1.0	1.0		1.0					
CSE 1010-006L (4408)	Intro Computing for Engineers (Laboratory)	20		We 6:40PM - 8:30PM	No Room Required - Online	Aug 31, 2020-		1.0	1.0	1.0			1.0	1.0									1.0	1.0						1.0	
CSE 1010-007L (4714)	Intro Computing for Engineers (Laboratory)	20		We 4:40PM - 6:30PM	No Room Required - Online	Aug 31, 2020-		1.0	1.0	1.0	1.0		1.0	1.0		1.0		1.0	1.0		1.0		1.0	1.0		1.0					
CSE 1010-011L (4307)	Intro Computing for Engineers (Laboratory)	21		Fr 8:00AM - 9:50AM	No Room Required - Online	Aug 31, 2020-		1.0	1.0	1.0	1.0			1.0		1.0		1.0	1.0		1.0		1.0	1.0		1.0					
CSE 1010-012L (4308)	Intro Computing for Engineers (Laboratory)	20		Fr 4:40PM - 6:30PM	No Room Required - Online	Aug 31, 2020-		1.0		1.0				1.0									1.0	1.0					1.0	1.0	
CSE 1010-013L (4411)	Intro Computing for Engineers (Laboratory)	20		Fr 12:00PM - 1:50PM	No Room Required - Online	Aug 31, 2020-	1.0	1.0		1.0	1.0			1.0	1.0	1.0				1.0			1.0	1.0	1.0		1.0	1.0			
CSE 1010-014L (4309)	Intro Computing for Engineers (Laboratory)	18		Fr 2:30PM - 4:20PM	No Room Required - Online	Aug 31, 2020-	1.0			1.0	1.0			1.0	1.0	1.0	1.0			1.0			1.0	1.0	1.0						1.0
